"","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"73",408273.826256803,556786.294793016,0.532892567801504,0.419242661294295,52709.4799304269,3048.94451647159,1938.11593303362,12113.3552456924,4.02047152277941e-09,84.0285918255888,0.322127361047762,1.80691517163381,1.69302114556156
"74",391946.186993118,650835.790575259,0.547484876153746,0.396786452108515,25304.0631520838,7589.0823017919,4893.17873531141,12118.0863210711,3.45810706079518e-09,100.33212929133,0.435978639444018,1.0218466283235,1.7359901549499
"75",400433.445032785,666866.193042684,0.573548851521718,0.365522498555787,14239.023335224,9327.68602520946,6120.03688699885,12124.3419410242,2.85731849565793e-09,90.2355426500733,0.30962373782331,1.10932809213537,1.1808644870042
"76",379076.614594192,653470.45155171,0.597182338793253,0.329923238554168,22742.533598676,6409.55582039649,7047.40781812372,12114.2003616173,4.12247828873501e-09,104.4271,0.444022755190952,1.29761207162889,1.82779445659866
"77",420042.042018599,656287.277850631,0.590875428708128,0.34035005327191,20748.5436833043,1784.12331824392,4201.07333159767,12130.1564572577,4.30119545330767e-09,75.075347395443,0.368433352440812,1.99497764765104,1.3207000042636
"78",398748.179728778,587516.06640796,0.585436018389987,0.351156579790324,45073.8602299502,1288.15746989604,6330.41722951836,12122.1622168468,3.03520219969045e-09,90.205309712578,0.309773435836537,1.11049562536759,1.1804247133118
"79",395979.854387892,676997.98611169,0.522640385161122,0.429852163139844,19936.2176224935,5228.5510037457,9624.07802039635,12121.2924659635,4.38055134605072e-09,76.1036387126495,0.30532420992226,1.70519628847514,1.56240169241752
"80",389767.973714494,689279.883846321,0.544595274080403,0.404460570677781,9316.36887887458,8226.46477317543,2170.03693729572,12123.7952078629,2.36396282967103e-09,119.7426,0.0700778070308921,1.621,1.4653356586264
"81",388332.899937736,686701.269429551,0.571115667348104,0.365836441540247,8952.59462317437,5532.0201999399,1577.10376076336,12128.5757758296,3.54898114240102e-09,104.471238953989,0.443925725788386,1.29562983701646,1.82895202875917
"82",409006.617812106,525054.513669842,0.491928980917417,0.459601523526427,69551.7193144752,5178.38714775605,8089.6102321957,12113.3702179931,3.11243594048231e-09,165.121504874875,0.293577876204527,0.47468686063621,1.05926279771885
"83",401768.673288022,537540.806608605,0.584858740938595,0.345258109810241,67160.9374029241,4473.92464917179,7110.79548395179,12130.0657463686,3.67845642608396e-09,113.6044,0.246077719480872,0.807733966045874,1.14993581594327
"84",394811.754835664,516472.173698865,0.524344157477355,0.429084586452739,70984.8210967924,7655.69779603518,4820.83582107091,12120.1799010927,3.50099559861588e-09,97.662716038308,0.284171459844065,1.05262085083992,1.80000041545368
"85",413591.327617758,502249.635493229,0.494972679181909,0.461996800587303,72663.1204958316,7409.43254011407,2571.15303408729,12124.4085087333,3.48312177827584e-09,123.403688029871,0.230348537770636,0.876765602203807,1.68149672960174
"86",400674.436901677,553071.775602512,0.474519359646041,0.481323880393319,56177.7198451468,3484.40614764891,5379.96882069997,12118.5864088298,4.91301161900784e-09,81.8220947954248,0.299602088344228,1.79066048290301,1.44639892540098
"87",402958.655777103,592531.748597458,0.578112992113021,0.358775966202003,45123.9470339101,4531.95603976284,2271.65741040022,12122.4225809976,4.04628380444633e-09,83.9882211039609,0.322200872440436,1.80839371563467,1.69266855053743
"88",420043.439116482,656295.370183666,0.590885286597023,0.340350383618834,20747.3421837428,1783.94766301191,4201.10166365295,12130.0691989144,4.20768639188255e-09,75.0765402857867,0.368433645862219,1.99499868256865,1.3207000042636
"89",404621.949585224,657200.148796932,0.510065315793662,0.447581987317426,16087.5085833405,3367.34562228414,3316.24512108502,12128.2438286084,4.98373919671372e-09,86.5603,0.170879458101043,1.35603412472461,1.07922827428652
"90",399360.705638695,609329.31579449,0.523329825240201,0.429145236894211,35741.1123997703,8889.24934445599,3416.1932049737,12127.9244319213,3.67748060407687e-09,76.122416038308,0.304970552767929,1.70442085083992,1.56283761952191
"91",388245.940794471,674499.042312692,0.56769282771756,0.371591511389101,12723.553558147,2411.8957074405,3339.18919411144,12124.870609246,3.13776558634962e-09,121.3678,0.135279998453073,0.8739,1.06142593038784
"92",402917.015137683,592430.817396022,0.577834678413234,0.358931014762766,45033.8406220164,4538.64793300186,2271.61686585423,12122.2550179834,4.04545583575362e-09,83.9996748073446,0.322200872440436,1.80823004109806,1.69266855053743
"93",402291.812237851,600348.429642279,0.447233405825062,0.49285665735832,38919.9338322875,8590.4034262428,4228.54804987576,12124.5548076184,4.84341277683518e-09,104.427318869402,0.444018257022032,1.29717423446683,1.82560561809881
"94",379274.545992013,653717.972069,0.597179577563964,0.330016979964475,22755.5825328093,6413.83719023583,7061.72067963156,12119.2859079176,3.5181262989644e-09,104.442953243972,0.443997732973085,1.29758462377669,1.82793516391279
"95",378633.062076396,518678.076111594,0.558793030218281,0.382031594090513,71895.3543497283,5374.38121720938,2329.55467817332,12135.0446719089,3.38744426855223e-09,137.628275471504,0.0908749770502938,1.29674160021825,1.84088824066358
"96",395030.969090585,645056.137844204,0.596663524400818,0.328902703240879,29271.1021323744,9138.04107873796,2986.406242922,12124.979050979,2.01004971275906e-09,95.4098869518309,0.113479817340457,1.91434285894169,1.9453100153593
"97",388432.79368868,571658.001950416,0.544000251580337,0.407013630632709,49495.9855990679,6646.94564446006,1929.37432859932,12118.7863649937,4.50324339725959e-09,75.0851788787072,0.36842617948229,1.99491453721419,1.3207000042636
"98",405188.341088898,679638.795896759,0.589565398046295,0.334392800938818,14392.3095716895,1379.46671499501,4764.92991959932,12125.4494396508,3.59159032130215e-09,100.510676202888,0.125943689399858,1.30069901262508,1.53101372483462
"99",388346.13628437,686787.510848718,0.571125521772569,0.365893945816817,8923.32769091914,5531.33335432442,1577.45909835901,12129.3887827545,3.54914186994264e-09,104.483809601304,0.443910936240353,1.29572907828628,1.82895187232764
"100",384053.111321764,664294.640823835,0.515432381537827,0.440814537166044,22542.6034698312,5354.8975064702,9456.14762563,12120.8345602266,3.95989906233231e-09,81.806228633223,0.299600477038225,1.79042449552497,1.44677644591273
"101",405175.302053651,679571.567805482,0.589451869028799,0.334435898608875,14396.8514077168,1381.53104447684,4763.88938088733,12125.0692879891,5.38017117961289e-09,100.506049240651,0.125990901379197,1.30055311999341,1.53117201660241
"102",401777.102599952,537541.761482869,0.584839496580109,0.345265418784509,67160.8782276262,4473.89775182677,7110.79982231995,12130.2919953334,3.67846501830922e-09,113.608502209045,0.246078194946175,0.807767823813323,1.14993375350538
"103",378258.42279655,619380.18375718,0.611541641262986,0.308571729521399,37933.4852277788,6389.07434166413,9097.8092183471,12133.1791984835,2.95039652393633e-09,97.6439387126495,0.284525148489178,1.0533962906882,1.80170086784978
"104",382857.889372599,576507.548063721,0.4152393351476,0.55317581949435,47496.7769033384,7230.06465017451,8124.69467786574,12095.1406222054,2.03846596524614e-09,134.790126617853,0.097299678631238,1.34656108109758,1.83973680593137
